1.05121481662542E+017	negative	I forgot how sad the first episode of the 5th season of Dexter is. #depressing #dexter #darkpassenger
1.03641916587E+017	neutral	(OFF TOPIC) - there is only 3 episodes on the first disk of #Dexter. Please hurry, @netflix with the 2nd #fitblog
1.00544750414864E+017	neutral	@iheardavoicesay is finally catching up to me with #Dexter. I'm only up to season 4, but he has almost finished season 2 today @ home, ill.
1.01769300683141E+017	neutral	Let's see if I can wrap up season three of #Dexter tonight: only 1 more episode to go till the season finale. Roll on series four please!
1.03277622636716E+017	positive	#3words "Tonight's the night" #dexter @SHO_Dexter
1.06222697310208E+017	positive	#ICanHonestlySay #Dexter is such a good show, I may order Showtime just because of it.
1.04653618153669E+017	positive	@dazzlindez @hotspur18 Don't feel obliged to discuss #Dexter tonight. Living it large in Brighton so please use direct messages....
1.02976668825698E+017	positive	@hughhefner Make sure you & the girls watch seasons 1-5 of #Dexter, before season 6 premieres Oct 2.  Seasons 1 & 4 are the best!
1.05076027692302E+017	positive	Addicted to #Dexter... what's new. Almost done with season 5 and I just got it on Thursday!
1.03535459300413E+017	positive	Beer and chicken night! Watching #Dexter till the working hours (11.59pm - 8 am) Maybe we should reserve the nickname "dexter"? Might be fun
1.00018263337079E+017	positive	Enjoying a night of #Dexter with @DomoniqueP07 :)
1.07551816442585E+017	positive	Finally starting the 5th season of #Dexter.  See ya later, weekend!
1.07641819298406E+017	positive	Fuck everyone else #dexter is my friend tonight. Bring it season 4
1.07355493328101E+017	positive	Yeah boiii #entourage tonight, so pissed that there's only 3 epsdes until it ends. Oh well on the up side #dexter season 6 starts soon...ish
2.6348486207642E+017	neutral	@roslyngjones I'm going Tuesday to the house of blues to see A$AP Rocky
2.64029423173521E+017	neutral	Whoever's going to A$AP Rocky wit me on the 8th better buy their tickets like today. I think imma get mine soon
2.63150115269779E+017	neutral	"@Rican_Amor: Who wants to go to a A$AP Rocky concert with me on the 14th or 15th ?!?!?" you don't have a choice on who you taking we going!
2.64106557392974E+017	positive	@funfunfunfest is coming up this weekend!! We're super excited! Playing the Blue Stage on Sat night right before A$AP Rocky!
2.63048213001535E+017	positive	AHHH! My mom said yes for me to go the A$AP Rocky concert!! Nov 8th we out! #EXCITED
2.63069843765469E+017	positive	May I ask what's so cool about A$ap Rocky?
1.05709609825747E+017	negative	Merril Hoge is stupid. I'm sick of hearing what Tebow can't do. He may not be a #1 right now but it took Aaron Rodgers 3 yrs to start
1.00047175236583E+017	neutral	Aaron Rodgers jersey battery room, under the windmill. Wagnoli - 4 August 2011 - Blog - designer wedding dresses sale,
1.00000950005146E+017	neutral	And on the very first play of the night, Aaron Rodgers is INT'd by UDFA CB Brandian Ross, who returns it for a pick-six touchdown.
1.04742390924972E+017	neutral	Da way aaron rodgers lookin greenbay may take it again
1.0075604032016E+017	neutral	RT @Jim_Alexander: For those just tuning in, #Chargers have linked those two games as pkg. To see Aaron Rodgers Nov 6, you gotta buy tix ...
1.06260169549283E+017	positive	@olbagofdonuts Sensationalism at its finest. Next thing you know we'll be hearing that Graham Harrell may take Aaron Rodgers' spot. SMH.
1.01134998102487E+017	positive	All you need is Ryan Leaf and you got a show. RT @jimrome: Aaron Rodgers, Kurt Warner and Kyle Kendrick are all in The Jungle tomorrow.
1.02115800701338E+017	positive	I saw a photo of Aaron Rodgers with some awesome scruff going on today. Did I mention he was at the White House today? IZ COOL.
1.06146612077793E+017	positive	So far I have drafted Aaron Rodgers at #9 overall, and then at #16 in the 2nd round, Matt Forte. Not bad.
1.04320830338642E+017	positive	The score may have been 38-26, but Aaron Rodgers kept right up statistically with Favre. Damn. #skolvikings
2.62572871996543E+017	neutral	Kainis! Bukas na pala first day ng Secret Love (Sungkyunkwan Scandal) sa ABS-CBN. Eh may pasok kami bukas. Diaje naman oh!
2.62488876524921E+017	neutral	Mark the dates: Miss Earth 2012 coronation night Nov 24, Sat, LIVE on Starworld, 8PM. Free-TV broadcast on Sun, Nov 25, 10AM on ABS-CBN.
2.63092466788487E+017	neutral	sungkyunkwan scandal on ABS-CBN.. i just finished the series yesterday..:))))) i may sound like a spoiler now &lt;evil laugh&gt;
2.62389438074728E+017	positive	At noon today, you'll know why #YouCount tune in to ABS-CBN to see the 1st #TVC of the Biggest &amp; d' Brightest #BPO Employer in PH #CONVERGYS
2.62064776883085E+017	positive	NOVEMBER SUPER TOUR: Nov 10-11: Rockwell Ten; Nov 9, 16, 23: ABS-CBN Friday Market. Meet Super Tuyo and Friends! See you! :-)
2.62851655312228E+017	positive	thank you ABS-CBN and BCWMH for the fantastic episode today. Tomorrow again. I can't wait to... http://t.co/ve5Brqh1
2.64250857401504E+017	neutral	ARRIVAL of ship: ARABIAN TAHR Port: ABU DHABI Time: Nov 2 2012 6:11AM (UTC) (Time of arrival/departure is the time the vessel app...
2.642440810462E+017	neutral	ARRIVAL of ship: MATAF PRIDE Port: ABU DHABI Time: Nov 2 2012 5:44AM (UTC) (Time of arrival/departure is the time the vessel appr...
2.64254250736046E+017	neutral	ARRIVAL of ship: NMS 202 Port: ABU DHABI Time: Nov 2 2012 6:21AM (UTC) (Time of arrival/departure is the time the vessel approach...
2.64074811251253E+017	neutral	ARRIVAL of ship: SHAM Port: ABU DHABI Time: Nov 1 2012 6:27PM (UTC) (Time of arrival/departure is the time the vessel approaches ...
2.64206129767276E+017	neutral	DEPARTURE of ship: AL DHAFRAH Port: ABU DHABI Time: Nov 2 2012 3:09AM (UTC) (Time of arrival/departure is the time the vessel app...
2.64228902195589E+017	neutral	DEPARTURE of ship: AMS 111 Port: ABU DHABI Time: Nov 2 2012 4:47AM (UTC) (Time of arrival/departure is the time the vessel approa...
2.64258285136409E+017	neutral	DEPARTURE of ship: ARABIAN ORYX Port: ABU DHABI Time: Nov 2 2012 6:41AM (UTC) (Time of arrival/departure is the time the vessel a...
2.64228911230112E+017	neutral	DEPARTURE of ship: JUMBO SPIRIT Port: ABU DHABI Time: Nov 2 2012 4:49AM (UTC) (Time of arrival/departure is the time the vessel a...
2.64217895452672E+017	neutral	DEPARTURE of ship: SHAM Port: ABU DHABI Time: Nov 2 2012 4:09AM (UTC) (Time of arrival/departure is the time the vessel approache...
2.64232597973E+017	neutral	DEPARTURE of ship: STANFORD PROVIDER Port: ABU DHABI Time: Nov 2 2012 5:03AM (UTC) (Time of arrival/departure is the time the ves...
2.62084640368624E+017	negative	@imjustanerd We may not win Academy Awards, but we will be the freaking People's Choice dammit!!!
2.62985621721739E+017	neutral	@GrantLawrence @CBCRadio3 I'm just suggesting it for the sake of completeness, a la Polaris's May 31st deadline &amp; Academy Awards' Dec. 31.
2.55379961223975E+017	neutral	Actors have the Academy Awards, Recording Artists have the Grammys, and now..DJ's have the GSA's!! - NOMINEES ANNOUNCED TOMORROW 10/9
2.53047415844782E+017	neutral	Seth McFarlane set to host the 85th Academy Awards in February. What do you think of that choice?
2.62981809053266E+017	neutral	The 1st Academy Awards ceremony, presented by the Academy of Motion Picture Arts and Sciences (AMPAS), honored... http://t.co/UWIF37QV
2.58221308767257E+017	neutral	The Clown has broken the record and become the 1st film to win 12 Brazilian Academy Awards yesterday. http://t.co/mbSGY3kt
2.58963620975759E+017	neutral	Today's answer: Stone has received 3 Academy Awards for his work on the films Midnight Express, Platoon, and Born on the Fourth of July.
2.64173733625885E+017	neutral	Would your company like to #sponsor the 3rd annual PNC Bank #NonProfit Academy Awards?  See attached for details. http://t.co/ebZFV0SR
2.59133354803339E+017	positive	The 1st Black woman to ever host the Academy Awards was=&gt;@WhoopiGoldberg! I want to be like her! #BlackHistoryMoment
2.6412489072511E+017	negative	Fuck SAT! ACT is where it's at! :D
2.64094586689954E+017	negative	Talking about ACT's &amp;&amp; SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out.
2.64131501376041E+017	neutral	@CASS_TAR is addicted to ACT. She just took one on Saturday. And she just signed up for a third test.
2.64159409800872E+017	neutral	@Lo3o2 Oh iight I can dig it but how you going to act tomorrow night tho younging ?
2.63893912748425E+017	neutral	Also need to be at least accredated in ACT or REBT before the end of 4th yr.
2.64153529374097E+017	neutral	Finished signing up for the SAT and ACT
2.64093407897584E+017	neutral	oH MAN i thought the deadline for ACT was tomorrow I have until the 9th bless
2.63712379831992E+017	negative	@dannyislington nah I havnt knew about the Adidas deal! U like it? I'm undecided....   Where u watching game sat? I'm trying to get it off!
2.64075826377675E+017	neutral	@KingSwaGGyy yeaa im still lookin smh...may have to go to the adidas store. The asian dudes wear em 24/7.
2.64164023858262E+017	neutral	Bring the Adidas sock tomorrow @trytheV3AL
2.64124093958341E+017	neutral	i'll make my bid for the adidas predator tomorrow Godwilling...
